standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-0.140802,0.405594,0.0865045,0.405594,All
-0.140066,0.406593,0.0890293,0.406593,All
-0.139842,0.407592,0.0942521,0.407592,All
-0.138864,0.408591,0.0971406,0.408591,All
-0.138154,0.40959,0.100449,0.40959,All
-0.137964,0.410589,0.101607,0.410589,All
-0.137478,0.411588,0.102623,0.411588,All
-0.137127,0.412587,0.102673,0.412587,All
-0.135322,0.413586,0.106333,0.413586,All
-0.135194,0.414585,0.107425,0.414585,All
-0.134834,0.415584,0.111157,0.415584,All
-0.134493,0.416583,0.113092,0.416583,All
-0.13444,0.417582,0.115287,0.417582,All
-0.134155,0.418581,0.115956,0.418581,All
-0.132583,0.41958,0.116626,0.41958,All
-0.131094,0.420579,0.11683,0.420579,All
-0.129358,0.421578,0.118139,0.421578,All
-0.128951,0.422577,0.118569,0.422577,All
-0.12788,0.423576,0.11872,0.423576,All
-0.127423,0.424575,0.119204,0.424575,All
-0.123892,0.425574,0.119317,0.425574,All
-0.123443,0.426573,0.122859,0.426573,All
-0.121522,0.427572,0.125472,0.427572,All
-0.117711,0.428571,0.126655,0.428571,All
-0.117612,0.42957,0.128757,0.42957,All
-0.115117,0.430569,0.12888,0.430569,All
-0.114987,0.431568,0.129246,0.431568,All
-0.112816,0.432567,0.130187,0.432567,All
-0.112292,0.433566,0.131658,0.433566,All
-0.108291,0.434565,0.131883,0.434565,All
-0.107761,0.435564,0.132403,0.435564,All
-0.106668,0.436563,0.132632,0.436563,All
-0.106246,0.437562,0.133023,0.437562,All
-0.106175,0.438561,0.133102,0.438561,All
-0.104789,0.43956,0.133837,0.43956,All
-0.104389,0.440559,0.13471,0.440559,All
-0.104207,0.441558,0.138067,0.441558,All
-0.1012,0.442557,0.144541,0.442557,All
-0.101102,0.443556,0.14571,0.443556,All
-0.0980268,0.444555,0.146646,0.444555,All
-0.097511,0.445554,0.148354,0.445554,All
-0.0962711,0.446553,0.154672,0.446553,All
-0.0959193,0.447552,0.156753,0.447552,All
-0.0956135,0.448551,0.15954,0.448551,All
-0.0950534,0.44955,0.161687,0.44955,All
-0.0945879,0.450549,0.162523,0.450549,All
-0.0910775,0.451548,0.163513,0.451548,All
-0.0901627,0.452547,0.1642,0.452547,All
-0.0881882,0.453546,0.169002,0.453546,All
-0.0879104,0.454545,0.171947,0.454545,All
-0.0870393,0.455544,0.173662,0.455544,All
-0.0870168,0.456543,0.173698,0.456543,All
-0.0869058,0.457542,0.17453,0.457542,All
-0.086205,0.458541,0.175342,0.458541,All
-0.0862014,0.45954,0.175359,0.45954,All
-0.085246,0.460539,0.17705,0.460539,All
-0.0843028,0.461538,0.179494,0.461538,All
-0.0842366,0.462537,0.180097,0.462537,All
-0.0835053,0.463536,0.180701,0.463536,All
-0.0831506,0.464535,0.181915,0.464535,All
-0.0819562,0.465534,0.182272,0.465534,All
-0.0816976,0.466533,0.184292,0.466533,All
-0.079718,0.467532,0.18629,0.467532,All
-0.07959,0.468531,0.186601,0.468531,All
-0.0795869,0.46953,0.190303,0.46953,All
-0.0782342,0.470529,0.192687,0.470529,All
-0.0777194,0.471528,0.193907,0.471528,All
-0.0769763,0.472527,0.195435,0.472527,All
-0.0764795,0.473526,0.195912,0.473526,All
-0.0756171,0.474525,0.197771,0.474525,All
-0.0747411,0.475524,0.201048,0.475524,All
-0.0734919,0.476523,0.201816,0.476523,All
-0.0734059,0.477522,0.201994,0.477522,All
-0.0719018,0.478521,0.203443,0.478521,All
-0.0697078,0.47952,0.207163,0.47952,All
-0.0689735,0.480519,0.207508,0.480519,All
-0.0678148,0.481518,0.208053,0.481518,All
-0.0667164,0.482517,0.208972,0.482517,All
