iteration,convergenceIndicator,phase,Vpop_pop,Clpop_pop,thetaAge_pop,thetaCr_pop,omega_V,omega_Cl,a
219,12277.7,1,0.878147,0.489043,-0.2468,0.77354,0.389505,0.842293,3.8623
220,12346.7,1,0.868831,0.496063,-0.246104,0.779309,0.403003,0.849682,3.84069
221,12336.7,1,0.865891,0.50044,-0.247476,0.780609,0.401743,0.850648,3.83357
222,12332.1,1,0.868164,0.499731,-0.247111,0.786268,0.400764,0.853793,3.82508
223,12342.3,1,0.845329,0.508417,-0.24657,0.796225,0.410418,0.841469,3.81464
224,12246.4,1,0.842989,0.504338,-0.246595,0.794981,0.400026,0.841013,3.77877
225,12260.2,1,0.863829,0.505141,-0.246725,0.785471,0.39134,0.829651,3.86716
226,12324,1,0.866324,0.506005,-0.245913,0.794512,0.393848,0.847539,3.87692
227,12211,1,0.870934,0.50407,-0.246685,0.784415,0.383875,0.843407,3.93629
228,12190.9,1,0.864594,0.499367,-0.245988,0.790709,0.374155,0.842004,3.93903
229,12261.1,1,0.852391,0.509113,-0.246677,0.808295,0.373609,0.838261,3.96046
230,12275.2,1,0.879944,0.502081,-0.247696,0.783123,0.364149,0.843685,4.04344
231,12286.4,1,0.881648,0.503199,-0.247267,0.775135,0.368719,0.837019,4.02954
232,12257.1,1,0.888124,0.504176,-0.246417,0.753746,0.376946,0.830397,3.95529
233,12293.3,1,0.88986,0.507192,-0.24649,0.760492,0.368113,0.835528,4.04709
234,12254,1,0.888987,0.493853,-0.24648,0.768692,0.370699,0.825721,4.00886
235,12341,1,0.885043,0.491461,-0.24587,0.771363,0.371494,0.848813,4.04333
236,12297.7,1,0.877989,0.501498,-0.247118,0.788067,0.362087,0.847362,4.07538
237,12497.3,1,0.873139,0.503842,-0.247705,0.796811,0.37814,0.854719,4.18245
238,12424.2,1,0.88774,0.496589,-0.24714,0.798811,0.368565,0.851447,4.21328
239,12423.3,1,0.904887,0.503706,-0.247752,0.784553,0.365987,0.853442,4.17649
240,12392.5,1,0.900611,0.503931,-0.247298,0.775838,0.365695,0.848303,4.15385
241,12238.4,1,0.889594,0.506546,-0.246852,0.773101,0.367741,0.826824,4.04867
242,12345.5,1,0.891456,0.508451,-0.247311,0.77745,0.374106,0.840792,4.05577
243,12411.3,1,0.887154,0.510122,-0.24766,0.780914,0.38132,0.819502,4.18835
244,12444.4,1,0.864911,0.512131,-0.246652,0.801959,0.383581,0.823066,4.17498
245,12460.8,1,0.869193,0.512425,-0.246285,0.799028,0.381471,0.814109,4.24128
246,12471.4,1,0.875632,0.505791,-0.246229,0.809485,0.380191,0.828902,4.21594
247,12466.9,1,0.887945,0.500192,-0.247524,0.796934,0.386075,0.819716,4.19768
248,12360,1,0.894823,0.509691,-0.246991,0.775654,0.386064,0.812415,4.09139
249,12353.2,1,0.878177,0.501296,-0.246172,0.793022,0.395336,0.826087,3.98779
250,12420.7,1,0.86243,0.500267,-0.247547,0.816658,0.403201,0.830529,3.98903
251,12366.2,1,0.873575,0.499526,-0.247355,0.806226,0.405393,0.8095,3.98261
252,12392.7,1,0.881636,0.50005,-0.246767,0.802853,0.40686,0.826217,3.9436
253,12395,1,0.875685,0.504062,-0.247266,0.817258,0.40512,0.833592,3.93535
254,12467.3,1,0.878869,0.485391,-0.247234,0.821736,0.414237,0.850632,3.91769
255,12430.5,1,0.877154,0.490139,-0.24787,0.822571,0.407878,0.860913,3.88139
256,12351.5,1,0.878167,0.484963,-0.24842,0.814834,0.397551,0.859451,3.87147
257,12302.8,1,0.883552,0.479521,-0.247391,0.806825,0.398207,0.84626,3.82679
258,12305.3,1,0.900185,0.46928,-0.248918,0.778482,0.397966,0.836516,3.85886
259,12401,1,0.903738,0.466439,-0.248266,0.778419,0.408735,0.851741,3.86477
260,12325,1,0.898397,0.466882,-0.249301,0.791052,0.398385,0.830174,3.9368
261,12292.5,1,0.905193,0.459746,-0.247764,0.804229,0.388298,0.811267,4.03692
262,12419.4,1,0.912262,0.458089,-0.2479,0.800771,0.393314,0.819084,4.08614
263,12426.8,1,0.910025,0.461865,-0.247925,0.803271,0.391939,0.830743,4.0683
264,12326,1,0.888778,0.463691,-0.248042,0.806976,0.382183,0.814508,4.05627
265,12234.4,1,0.892903,0.454396,-0.247822,0.808051,0.376658,0.820112,3.95973
266,12294.3,1,0.893508,0.467577,-0.248406,0.791864,0.375804,0.820515,4.04048
267,12403.3,1,0.902443,0.467315,-0.248605,0.806991,0.378545,0.83979,4.10176
268,12346.2,1,0.911979,0.47714,-0.247294,0.796483,0.36896,0.847499,4.09556
269,12337.7,1,0.909854,0.486427,-0.247654,0.791514,0.364104,0.842063,4.11293
270,12367,1,0.913495,0.491651,-0.246656,0.789951,0.366696,0.844308,4.12543
271,12321.7,1,0.8825,0.490163,-0.246997,0.808223,0.369571,0.822959,4.11335
272,12338.5,1,0.886325,0.493443,-0.24775,0.797504,0.370066,0.82606,4.12166
273,12382.7,1,0.898564,0.497335,-0.247846,0.770359,0.369946,0.832929,4.15811
274,12450.3,1,0.889027,0.490591,-0.2468,0.775979,0.373423,0.831812,4.22624
275,12458.4,2,0.877898,0.491729,-0.247032,0.795957,0.372192,0.83558,4.23435
276,12377.9,2,0.881982,0.502443,-0.24623,0.777198,0.372013,0.828759,4.15059
277,12323.2,2,0.898272,0.498011,-0.245831,0.753025,0.372707,0.828689,4.07391
278,12483.4,2,0.895402,0.506192,-0.247236,0.76478,0.376337,0.836199,4.23125
279,12468.8,2,0.878452,0.509154,-0.247358,0.780031,0.382806,0.837839,4.16534
280,12400,2,0.877758,0.505049,-0.246524,0.773741,0.36978,0.84067,4.16538
281,12381.6,2,0.879295,0.503669,-0.245981,0.768445,0.36286,0.837125,4.19977
282,12320.6,2,0.887201,0.510069,-0.246622,0.766741,0.357189,0.828139,4.19907
283,12331.7,2,0.872432,0.508364,-0.247063,0.779721,0.3583,0.827757,4.19408
284,12347.2,2,0.861191,0.507518,-0.246839,0.790308,0.352355,0.849098,4.18847
285,12332.8,2,0.876073,0.50017,-0.246559,0.771949,0.353978,0.842341,4.18579
286,12336.8,2,0.884088,0.499202,-0.247047,0.773408,0.359293,0.84256,4.1457
287,12387.5,2,0.885228,0.500245,-0.246918,0.77376,0.362508,0.847105,4.15352
288,12227.1,2,0.890222,0.502237,-0.247048,0.773197,0.355168,0.829272,4.14232
289,12246.1,2,0.886617,0.502212,-0.246886,0.774792,0.35692,0.822547,4.12462
290,12278.1,2,0.893129,0.501638,-0.246874,0.763679,0.357409,0.826274,4.12406
291,12321.4,2,0.895479,0.501993,-0.247015,0.763331,0.362538,0.82747,4.11983
292,12280.6,2,0.891937,0.50497,-0.246753,0.76307,0.36107,0.834571,4.09537
