trans_Cl_vs_AGE_abscissa,trans_Cl_vs_AGE_spline,trans_Cl_vs_AGE_regression,trans_Cl_vs_CrCl_abscissa,trans_Cl_vs_CrCl_spline,trans_Cl_vs_CrCl_regression,trans_Cl_vs_CrCl_log_scaled_abscissa,trans_Cl_vs_CrCl_log_scaled_spline,trans_Cl_vs_CrCl_log_scaled_regression,trans_Cl_vs_WT_abscissa,trans_Cl_vs_WT_spline,trans_Cl_vs_WT_regression,trans_Cl_vs_logWT_abscissa,trans_Cl_vs_logWT_spline,trans_Cl_vs_logWT_regression,trans_V_vs_AGE_abscissa,trans_V_vs_AGE_spline,trans_V_vs_AGE_regression,trans_V_vs_CrCl_abscissa,trans_V_vs_CrCl_spline,trans_V_vs_CrCl_regression,trans_V_vs_CrCl_log_scaled_abscissa,trans_V_vs_CrCl_log_scaled_spline,trans_V_vs_CrCl_log_scaled_regression,trans_V_vs_WT_abscissa,trans_V_vs_WT_spline,trans_V_vs_WT_regression,trans_V_vs_logWT_abscissa,trans_V_vs_logWT_spline,trans_V_vs_logWT_regression,split
35,1.1703,1.22105,69.8012,1.11019,0.974559,-2.24125,-0.607257,-0.620259,66.8556,0.516815,0.517691,3.69807,0.284426,0.258736,35,4.34747,4.34857,69.8012,4.49714,4.3872,-2.24125,4.16357,4.12941,66.8556,4.04707,4.19149,3.69807,3.79465,3.82362,All
35.7273,1.18488,1.20557,72.7878,1.09818,1.0239,-2.19788,-0.579417,-0.579101,68.7535,0.692919,0.528951,3.71967,0.292748,0.270064,35.7273,4.39799,4.34787,72.7878,4.35245,4.39624,-2.19788,4.16342,4.1358,68.7535,4.22881,4.20676,3.71967,3.8,3.83952,All
36.4545,1.19036,1.19009,75.7745,1.34926,1.07324,-2.15452,-0.55384,-0.537942,70.6515,0.553821,0.540211,3.74127,0.297674,0.281392,36.4545,4.44374,4.34716,75.7745,4.43552,4.40529,-2.15452,4.16235,4.14219,70.6515,4.21549,4.22203,3.74127,3.80584,3.85541,All
37.1818,1.18772,1.17462,78.7611,1.37111,1.12258,-2.11116,-0.528592,-0.496783,72.5495,0.741482,0.55147,3.76287,0.300873,0.29272,37.1818,4.47957,4.34646,78.7611,4.48876,4.41434,-2.11116,4.16186,4.14858,72.5495,4.34313,4.2373,3.76287,3.81197,3.87131,All
37.9091,1.17709,1.15914,81.7477,1.18479,1.17192,-2.06779,-0.497637,-0.455624,74.4475,0.524699,0.56273,3.78447,0.298613,0.304047,37.9091,4.49426,4.34576,81.7477,4.3526,4.42338,-2.06779,4.16706,4.15497,74.4475,4.25167,4.25256,3.78447,3.81926,3.8872,All
38.6364,1.16122,1.14366,84.7343,1.44407,1.22127,-2.02443,-0.454044,-0.414466,76.3455,0.586383,0.57399,3.80607,0.292693,0.315375,38.6364,4.46418,4.34505,84.7343,4.50028,4.43243,-2.02443,4.18387,4.16137,76.3455,4.27629,4.26783,3.80607,3.82775,3.9031,All
39.3636,1.1446,1.12818,87.721,1.49932,1.27061,-1.98106,-0.391995,-0.373307,78.2434,0.356038,0.58525,3.82767,0.286064,0.326703,39.3636,4.4277,4.34435,87.721,4.52381,4.44147,-1.98106,4.21659,4.16776,78.2434,4.24805,4.2831,3.82767,3.84166,3.919,All
40.0909,1.12895,1.1127,90.7076,1.36859,1.31995,-1.9377,-0.319339,-0.332148,80.1414,0.722912,0.59651,3.84927,0.287477,0.338031,40.0909,4.39075,4.34365,90.7076,4.43925,4.45052,-1.9377,4.25156,4.17415,80.1414,4.31936,4.29837,3.84927,3.86759,3.93489,All
40.8182,1.12005,1.09723,93.6942,1.3096,1.36929,-1.89433,-0.253725,-0.290989,82.0394,0.653196,0.60777,3.87088,0.3054,0.349359,40.8182,4.35053,4.34294,93.6942,4.4185,4.45956,-1.89433,4.26008,4.18054,82.0394,4.29872,4.31364,3.87088,3.91231,3.95079,All
41.5455,1.12212,1.08175,96.6808,1.41689,1.41863,-1.85097,-0.213248,-0.24983,83.9374,0.512798,0.61903,3.89248,0.347675,0.360687,41.5455,4.33617,4.34224,96.6808,4.50636,4.46861,-1.85097,4.2148,4.18693,83.9374,4.28438,4.32891,3.89248,3.982,3.96668,All
42.2727,1.13122,1.06627,99.6675,1.53023,1.46797,-1.8076,-0.192494,-0.208672,85.8354,0.661721,0.63029,3.91408,0.382887,0.372014,42.2727,4.34814,4.34154,99.6675,4.55811,4.47765,-1.8076,4.14972,4.19332,85.8354,4.37859,4.34418,3.91408,4.04305,3.98258,All
43,1.14593,1.05079,102.654,1.59013,1.51731,-1.76424,-0.158077,-0.167513,87.7333,0.62163,0.64155,3.93568,0.334324,0.383342,43,4.38964,4.34083,102.654,4.53771,4.4867,-1.76424,4.16924,4.19972,87.7333,4.40164,4.35945,3.93568,4.01342,3.99847,All
43.7273,1.11297,1.03531,105.641,1.609,1.56666,-1.72087,-0.111885,-0.126354,89.6313,0.841664,0.65281,3.95728,0.270313,0.39467,43.7273,4.43121,4.34013,105.641,4.48223,4.49574,-1.72087,4.22477,4.20611,89.6313,4.4305,4.37472,3.95728,3.94764,4.01437,All
44.4545,1.03296,1.01984,108.627,1.60046,1.616,-1.67751,-0.091842,-0.0851953,91.5293,0.804569,0.66407,3.97888,0.294524,0.405998,44.4545,4.44509,4.33943,108.627,4.43061,4.50479,-1.67751,4.21455,4.2125,91.5293,4.43944,4.38999,3.97888,3.93489,4.03026,All
45.1818,0.940772,1.00436,111.614,1.5782,1.66534,-1.63414,-0.127968,-0.0440365,93.4273,0.615965,0.67533,4.00048,0.423136,0.417326,45.1818,4.43799,4.33872,111.614,4.41306,4.51383,-1.63414,4.16175,4.21889,93.4273,4.31894,4.40526,4.00048,4.00735,4.04616,All
45.9091,0.896746,0.98888,114.601,1.55464,1.71468,-1.59078,-0.111446,-0.00287777,95.3253,0.733786,0.68659,4.02208,0.48446,0.428654,45.9091,4.41774,4.33802,114.601,4.4213,4.52288,-1.59078,4.13914,4.22528,95.3253,4.41513,4.42053,4.02208,4.07508,4.06205,All
46.6364,0.976995,0.973402,117.587,1.54158,1.76402,-1.54741,0.0294827,0.038281,97.2232,0.70561,0.69785,4.04368,0.410877,0.439982,46.6364,4.39825,4.33732,117.587,4.44119,4.53192,-1.54741,4.19477,4.23167,97.2232,4.52595,4.4358,4.04368,4.08192,4.07795,All
47.3636,1.02586,0.957924,120.574,1.5461,1.81336,-1.50405,0.0170411,0.0794398,99.1212,0.692772,0.709109,4.06528,0.373268,0.451309,47.3636,4.35401,4.33661,120.574,4.46157,4.54097,-1.50405,4.22624,4.23806,99.1212,4.51507,4.45107,4.06528,4.06976,4.09384,All
48.0909,1.01824,0.942446,123.56,1.56722,1.8627,-1.46068,-0.00518482,0.120599,101.019,0.805225,0.720369,4.08688,0.478503,0.462637,48.0909,4.28705,4.33591,123.56,4.48089,4.55002,-1.46068,4.23354,4.24446,101.019,4.56534,4.46634,4.08688,4.09776,4.10974,All
48.8182,0.959184,0.926968,126.547,1.59964,1.91205,-1.41732,0.0999261,0.161757,102.917,0.603301,0.731629,4.10848,0.178211,0.473965,48.8182,4.23494,4.33521,126.547,4.49933,4.55906,-1.41732,4.24222,4.25085,102.917,4.52715,4.48161,4.10848,4.11983,4.12563,All
49.5455,0.932268,0.91149,129.534,1.64122,1.96139,-1.37395,0.178723,0.202916,104.815,0.621004,0.742889,4.13008,0.594116,0.485293,49.5455,4.24697,4.3345,129.534,4.51686,4.56811,-1.37395,4.24307,4.25724,104.815,4.54697,4.49688,4.13008,4.19048,4.14153,All
50.2727,0.919747,0.896012,132.52,1.68928,2.01073,-1.33059,0.2778,0.244075,106.713,0.831138,0.754149,4.15168,0.551628,0.496621,50.2727,4.28719,4.3338,132.52,4.53335,4.57715,-1.33059,4.2905,4.26363,106.713,4.55649,4.51215,4.15168,4.10476,4.15743,All
51,0.913362,0.880534,135.507,1.73945,2.06007,-1.28722,0.229978,0.285234,108.611,0.878397,0.765409,4.17328,0.568884,0.507949,51,4.33877,4.3331,135.507,4.54906,4.5862,-1.28722,4.30568,4.27002,108.611,4.55153,4.52742,4.17328,4.25573,4.17332,All
51.7273,0.884848,0.865056,138.494,1.78873,2.10941,-1.24386,0.335852,0.326392,110.509,0.686557,0.776669,4.19488,0.527638,0.519276,51.7273,4.33602,4.33239,138.494,4.56415,4.59524,-1.24386,4.31457,4.27641,110.509,4.5898,4.54269,4.19488,4.11915,4.18922,All
52.4545,0.864533,0.849577,141.48,1.83484,2.15875,-1.20049,0.170619,0.367551,112.407,0.661595,0.787929,4.21648,0.398351,0.530604,52.4545,4.32431,4.33169,141.48,4.57833,4.60429,-1.20049,4.23724,4.28281,112.407,4.62347,4.55796,4.21648,4.09845,4.20511,All
53.1818,0.837935,0.834099,144.467,1.87789,2.20809,-1.15713,0.358461,0.40871,114.305,0.76566,0.799189,4.23808,0.71288,0.541932,53.1818,4.31116,4.33099,144.467,4.59183,4.61333,-1.15713,4.28323,4.2892,114.305,4.63288,4.57323,4.23808,4.31502,4.22101,All
53.9091,0.777735,0.818621,147.453,1.9177,2.25743,-1.11376,0.421813,0.449869,116.203,0.822128,0.810449,4.25968,0.543746,0.55326,53.9091,4.30977,4.33028,147.453,4.60462,4.62238,-1.11376,4.3064,4.29559,116.203,4.61624,4.5885,4.25968,4.21919,4.2369,All
54.6364,0.891599,0.803143,150.44,1.95346,2.30678,-1.0704,0.557003,0.491028,118.101,0.824372,0.821709,4.28128,0.695944,0.564588,54.6364,4.2846,4.32958,150.44,4.61655,4.63142,-1.0704,4.3426,4.30198,118.101,4.58932,4.60377,4.28128,4.3491,4.2528,All
55.3636,0.931111,0.787665,153.427,1.98557,2.35612,-1.02703,0.479769,0.532186,119.999,0.816621,0.832969,4.30288,0.596298,0.575916,55.3636,4.27021,4.32888,153.427,4.62772,4.64047,-1.02703,4.26339,4.30837,119.999,4.57294,4.61904,4.30288,4.27655,4.26869,All
56.0909,0.871072,0.772187,156.413,2.01769,2.40546,-0.983667,0.52664,0.573345,121.897,0.832058,0.844229,4.32448,0.56597,0.587243,56.0909,4.27324,4.32817,156.413,4.63888,4.64951,-0.983667,4.2869,4.31476,121.897,4.58279,4.63431,4.32448,4.25545,4.28459,All
56.8182,0.808695,0.756709,159.4,2.04822,2.4548,-0.940302,0.723667,0.614504,123.795,0.865727,0.855489,4.34608,0.539346,0.598571,56.8182,4.29893,4.32747,159.4,4.64973,4.65856,-0.940302,4.23688,4.32116,123.795,4.61078,4.64958,4.34608,4.36151,4.30048,All
57.5455,0.726058,0.741231,162.387,2.07157,2.50414,-0.896937,0.678199,0.655663,125.693,0.904715,0.866749,4.36768,0.405062,0.609899,57.5455,4.34171,4.32677,162.387,4.65919,4.6676,-0.896937,4.29188,4.32755,125.693,4.64452,4.66485,4.36768,4.2322,4.31638,All
58.2727,0.73802,0.725753,165.373,2.09023,2.55348,-0.853572,0.626979,0.696821,127.591,0.940767,0.878008,4.38928,0.747494,0.621227,58.2727,4.37718,4.32606,165.373,4.6678,4.67665,-0.853572,4.3166,4.33394,127.591,4.67566,4.68012,4.38928,4.33061,4.33227,All
59,0.918904,0.710275,168.36,2.1089,2.60282,-0.810207,0.730685,0.73798,129.489,0.958329,0.889268,4.41088,0.641482,0.632555,59,4.39101,4.32536,168.36,4.67641,4.6857,-0.810207,4.34311,4.34033,129.489,4.68943,4.69539,4.41088,4.31084,4.34817,All
59.7273,0.777027,0.694797,171.346,2.12756,2.65217,-0.766842,0.818025,0.779139,131.387,0.950398,0.900528,4.43248,0.520786,0.643883,59.7273,4.43848,4.32466,171.346,4.68502,4.69474,-0.766842,4.35948,4.34672,131.387,4.67903,4.71066,4.43248,4.30761,4.36406,All
60.4545,0.681078,0.679319,174.333,2.14622,2.70151,-0.723478,0.903291,0.820298,133.285,0.924191,0.911788,4.45408,0.684022,0.655211,60.4545,4.36116,4.32395,174.333,4.69363,4.70379,-0.723478,4.31684,4.35311,133.285,4.65191,4.72593,4.45408,4.39351,4.37996,All
61.1818,0.635589,0.663841,177.32,2.16488,2.75085,-0.680113,0.920775,0.861456,135.183,0.889959,0.923048,4.47568,0.650635,0.666538,61.1818,4.2716,4.32325,177.32,4.70223,4.71283,-0.680113,4.41365,4.35951,135.183,4.61855,4.7412,4.47568,4.42683,4.39586,All
61.9091,0.658812,0.648363,180.306,2.18355,2.80019,-0.636748,1.05281,0.902615,137.081,0.858193,0.934308,4.49728,0.840056,0.677866,61.9091,4.36993,4.32255,180.306,4.71084,4.72188,-0.636748,4.35657,4.3659,137.081,4.58961,4.75647,4.49728,4.43059,4.41175,All
