iteration,convergenceIndicator,phase,V_pop,beta_V_logtWT,Cl_pop,beta_Cl_SEX_1,beta_Cl_logtAGE,beta_Cl_logtCreatinine,omega_V,omega_Cl,b
142,11843.1,1,77.3492,0.6564,1.2348,0.473165,-0.900263,-0.84921,0.533399,0.65759,0.207469
143,11867.9,1,75.9836,0.623053,1.23754,0.48523,-0.93092,-0.840835,0.524088,0.659544,0.209613
144,11927.7,1,76.5351,0.595637,1.22037,0.506673,-0.996132,-0.854251,0.522181,0.672492,0.213555
145,11836.3,1,76.0962,0.711202,1.19747,0.504604,-0.96509,-0.86053,0.522097,0.668407,0.206764
146,11823.4,1,75.2058,0.738418,1.1841,0.505514,-0.946081,-0.911623,0.508877,0.667352,0.20833
147,11858.9,1,75.1637,0.762565,1.1775,0.509929,-1.00318,-0.872224,0.519318,0.659417,0.209114
148,11847.7,1,75.5327,0.793307,1.18122,0.507338,-0.907852,-0.853055,0.528652,0.660232,0.207037
149,11861,1,77.2305,0.818197,1.16562,0.552184,-0.918328,-0.905963,0.542921,0.654912,0.207731
150,11902,1,77.3139,0.696769,1.17975,0.525771,-0.863926,-0.902322,0.539186,0.658948,0.209008
151,11876.4,1,76.862,0.649815,1.1652,0.532195,-0.944044,-0.883282,0.536408,0.656858,0.207481
152,11854.4,1,75.7465,0.630663,1.19945,0.476038,-0.905848,-0.856558,0.527173,0.661016,0.206165
153,11896.7,1,73.402,0.657164,1.19195,0.528906,-0.927077,-0.885627,0.522739,0.661308,0.209992
154,11961,1,71.7345,0.610644,1.25824,0.49148,-0.972325,-0.857363,0.532672,0.662164,0.211821
155,11977.5,1,72.3128,0.642319,1.25109,0.495555,-0.885327,-0.885178,0.536642,0.665462,0.211359
156,11940.4,1,71.9718,0.630586,1.27441,0.506424,-0.797273,-0.8711,0.551351,0.665193,0.206131
157,11759.4,1,72.0292,0.663948,1.23824,0.542809,-0.786131,-0.833963,0.537391,0.648349,0.203373
158,11678.7,1,71.8172,0.723341,1.264,0.520749,-0.842415,-0.864835,0.523784,0.63227,0.203839
159,11705.6,1,72.8651,0.698477,1.31068,0.455137,-0.864439,-0.839136,0.525538,0.621733,0.207594
160,11894.1,1,73.9116,0.68131,1.27162,0.462495,-0.884041,-0.870551,0.544794,0.642812,0.208909
161,11870,1,75.0457,0.683153,1.23274,0.500388,-0.848687,-0.847581,0.555528,0.648323,0.205522
162,11889.6,1,74.6405,0.678629,1.23768,0.497582,-0.894244,-0.827074,0.554508,0.655945,0.205246
163,11953.6,1,75.9908,0.648222,1.25913,0.434898,-0.853284,-0.836182,0.540468,0.676243,0.209907
164,11941.4,1,76.7083,0.676025,1.25705,0.438392,-0.870833,-0.869793,0.535495,0.665338,0.211748
165,11974.8,1,75.5095,0.739216,1.22928,0.438236,-0.807861,-0.858771,0.542265,0.649541,0.213704
166,11901,1,75.7957,0.659087,1.20867,0.47563,-0.8361,-0.903013,0.559037,0.633094,0.208552
167,11953.4,1,73.9564,0.674071,1.23744,0.440309,-0.862184,-0.840064,0.552448,0.63323,0.211705
168,11991.2,1,73.7286,0.658464,1.25865,0.42699,-0.937864,-0.813459,0.552092,0.648315,0.213038
169,11904.4,1,75.441,0.646631,1.24435,0.461222,-0.908716,-0.849728,0.548458,0.631899,0.213886
170,12038.1,1,74.9473,0.686097,1.25852,0.446122,-0.922869,-0.829888,0.543501,0.657206,0.216684
171,11979.4,1,76.1778,0.658248,1.25204,0.45531,-0.938267,-0.830877,0.535154,0.646281,0.217026
172,11933.8,1,75.1987,0.712732,1.25781,0.430684,-0.861433,-0.861948,0.522677,0.651657,0.21454
173,11996.9,1,75.2989,0.731016,1.2609,0.452961,-0.825898,-0.856637,0.533684,0.646815,0.216999
174,11840.7,1,76.3285,0.731074,1.28175,0.454361,-0.83795,-0.855837,0.520171,0.649733,0.21251
175,11947,1,75.8465,0.748404,1.25369,0.445255,-0.795129,-0.858111,0.532234,0.662757,0.210929
176,11876.8,1,75.099,0.669681,1.22128,0.485494,-0.826958,-0.888641,0.531985,0.676116,0.203939
177,11798.4,1,74.3655,0.748175,1.26421,0.468254,-0.864308,-0.867872,0.518515,0.677341,0.205088
178,11914.5,1,75.2504,0.70185,1.28961,0.432727,-0.856971,-0.871507,0.514856,0.672838,0.212164
179,11870.9,1,76.2628,0.742832,1.23776,0.44269,-0.898689,-0.838601,0.520274,0.655801,0.212672
180,11808.2,1,75.7044,0.724126,1.25039,0.457402,-0.926062,-0.865219,0.522159,0.64258,0.208821
181,11865.7,1,74.6238,0.758307,1.24764,0.448579,-0.908384,-0.858345,0.52637,0.653803,0.209
182,11720.1,1,73.3182,0.73562,1.20683,0.520363,-0.88859,-0.876265,0.513042,0.639623,0.206453
183,11792.2,1,73.7249,0.766299,1.21833,0.516613,-0.829454,-0.892583,0.504382,0.64902,0.210856
184,11800.1,1,74.2982,0.769733,1.24997,0.48708,-0.803701,-0.914517,0.491611,0.656788,0.215449
185,11840.3,1,75.7343,0.72523,1.25923,0.473975,-0.833307,-0.85028,0.514607,0.649943,0.212512
186,11855.7,1,74.2728,0.621278,1.28595,0.448256,-0.840594,-0.858213,0.51458,0.640303,0.214511
187,11823.5,1,75.2388,0.689986,1.27946,0.474371,-0.842847,-0.835408,0.531231,0.638192,0.211227
188,11927.7,1,75.4996,0.740033,1.2744,0.464181,-0.848333,-0.844788,0.527886,0.637638,0.217114
189,11877.5,1,76.0571,0.727285,1.22026,0.502484,-0.852802,-0.852985,0.523945,0.650977,0.212453
190,11845.4,1,76.7648,0.703339,1.19705,0.506015,-0.829001,-0.844834,0.528818,0.650288,0.209007
191,11808.2,1,74.9508,0.637822,1.22653,0.487208,-0.86715,-0.814038,0.515428,0.646755,0.209618
192,11819.3,1,75.7384,0.62055,1.21034,0.49912,-0.825346,-0.853045,0.519406,0.640628,0.21027
193,11812.3,1,75.7009,0.609677,1.27617,0.444638,-0.811284,-0.839378,0.531595,0.638867,0.207879
194,11811.7,1,75.3225,0.634451,1.27608,0.453433,-0.828562,-0.857585,0.529711,0.658298,0.205033
195,11789,1,73.9109,0.627545,1.24053,0.499215,-0.899694,-0.837451,0.522842,0.6614,0.204229
196,11915.5,1,72.9463,0.715957,1.24959,0.500798,-0.871563,-0.795723,0.527017,0.669432,0.209866
197,11860.2,1,73.4117,0.634606,1.23947,0.513145,-0.913911,-0.843084,0.526798,0.660294,0.209093
198,11891.6,1,72.9408,0.58989,1.24987,0.493545,-0.876273,-0.82973,0.525703,0.667868,0.208945
199,11846.2,1,73.6936,0.624103,1.27739,0.497396,-0.917044,-0.812708,0.517828,0.658791,0.209773
200,11816.7,1,75.1961,0.646797,1.27255,0.483877,-0.93001,-0.876967,0.532428,0.656384,0.208045
201,11874.3,1,75.2724,0.628658,1.2928,0.434822,-0.847094,-0.862216,0.554152,0.65155,0.205359
202,11862.4,1,74.8403,0.642122,1.25713,0.477151,-0.793589,-0.847425,0.554441,0.637378,0.207892
203,11946.4,1,75.5259,0.681983,1.2297,0.496579,-0.864702,-0.818116,0.564449,0.643773,0.208656
204,11879.8,1,76.7655,0.659154,1.24249,0.473241,-0.927354,-0.826336,0.551902,0.646202,0.206971
205,11801.6,1,76.0922,0.656911,1.29949,0.40429,-0.858295,-0.824841,0.541461,0.651653,0.202147
206,11755.2,1,75.0062,0.628466,1.30073,0.409174,-0.901746,-0.825594,0.527751,0.635153,0.206209
207,11781.7,1,75.0062,0.628913,1.28045,0.398692,-0.786441,-0.819844,0.529785,0.660157,0.201386
208,11871.3,1,77.211,0.667081,1.22613,0.466725,-0.843868,-0.869836,0.546859,0.678629,0.202381
209,11820.6,1,76.4582,0.680918,1.24931,0.429193,-0.919253,-0.823773,0.545792,0.680749,0.198385
210,11868.9,1,77.238,0.707777,1.19302,0.459397,-0.960461,-0.833927,0.547391,0.667744,0.201751
211,11922.8,1,77.4867,0.715763,1.16339,0.508032,-0.927802,-0.850153,0.542369,0.674221,0.205043
212,11866.7,1,77.2476,0.694623,1.18169,0.49164,-0.96696,-0.824644,0.536216,0.65715,0.206095
213,11930,1,76.1763,0.644799,1.21976,0.474267,-0.935727,-0.848386,0.544331,0.668553,0.206817
214,11816.5,1,76.5064,0.571605,1.24006,0.464928,-0.955266,-0.837758,0.530548,0.661178,0.204762
215,11773.3,1,75.9912,0.635434,1.24335,0.459291,-0.890543,-0.855501,0.531479,0.652213,0.203559
216,11756.4,1,75.9649,0.589134,1.21554,0.505788,-0.916527,-0.861079,0.528178,0.657882,0.201623
217,11693.6,1,76.2532,0.596932,1.23119,0.484445,-0.867119,-0.875689,0.533745,0.641224,0.201278
218,11735,1,75.3994,0.682639,1.23504,0.48132,-0.786301,-0.854997,0.527124,0.642818,0.203776
219,11788.4,1,75.183,0.754188,1.27731,0.445462,-0.818732,-0.873693,0.513777,0.651491,0.211625
220,11833.5,1,75.6217,0.755329,1.23756,0.466474,-0.778322,-0.857039,0.522442,0.654875,0.208754
221,11862.7,1,75.8794,0.791934,1.2491,0.418342,-0.780791,-0.829087,0.525519,0.656226,0.207402
