iteration,convergenceIndicator,phase,V_pop,beta_V_logtHb,beta_V_logtWT,Cl_pop,beta_Cl_SEX_1,beta_Cl_logtAGE,beta_Cl_logtBUN,beta_Cl_logtCreatinine,beta_Cl_logtHCO3,beta_Cl_logtHCT,beta_Cl_logtHb,beta_Cl_logtK,beta_Cl_logtP,omega_V,omega_Cl,b
109,11539.7,1,73.7583,0.345397,0.512443,1.35332,0.386,-0.854171,-0.294066,-0.562725,0.368988,-1.5312,2.20563,0.612768,-0.148816,0.497869,0.612357,0.205529
110,11559.4,1,73.8121,0.384995,0.462596,1.34494,0.438141,-0.788226,-0.290264,-0.572053,0.290753,-1.63273,2.26965,0.519892,-0.102205,0.493504,0.610213,0.207241
111,11548.2,1,74.4954,0.373919,0.46541,1.38751,0.381566,-0.770054,-0.317363,-0.520224,0.292737,-1.24105,1.89921,0.564544,-0.109492,0.496083,0.612133,0.206424
112,11502,1,73.3756,0.48818,0.448758,1.38453,0.360305,-0.770359,-0.297324,-0.527294,0.343586,-1.4323,2.04657,0.605855,-0.203163,0.509875,0.597448,0.201642
113,11639.4,1,73.4238,0.49826,0.457758,1.40219,0.351439,-0.787318,-0.262026,-0.530826,0.320809,-1.08878,1.70423,0.51634,-0.230924,0.516614,0.616532,0.205353
114,11583.9,1,73.7822,0.54714,0.552292,1.42402,0.317015,-0.828449,-0.241221,-0.555827,0.369222,-1.06112,1.64721,0.535575,-0.277996,0.511777,0.618115,0.20362
115,11584.4,1,73.1175,0.49962,0.549967,1.44902,0.303104,-0.83884,-0.238407,-0.547915,0.269399,-1.22127,1.86053,0.539112,-0.29132,0.517035,0.610526,0.202586
116,11606.9,1,73.5586,0.442926,0.58302,1.42287,0.32174,-0.829916,-0.227614,-0.548105,0.29684,-1.16619,1.71313,0.348914,-0.27997,0.512427,0.602768,0.20755
117,11689.3,1,74.3635,0.457969,0.571271,1.43719,0.281625,-0.816541,-0.200704,-0.599987,0.237921,-0.846149,1.43283,0.431912,-0.299454,0.508863,0.614577,0.211171
118,11718.1,1,75.2755,0.61861,0.589734,1.38254,0.349637,-0.85684,-0.259689,-0.58822,0.234629,-0.965218,1.47494,0.509368,-0.213081,0.524346,0.612652,0.211348
119,11737.8,1,73.9677,0.466315,0.561978,1.39423,0.317231,-0.822591,-0.232791,-0.595339,0.25068,-0.915521,1.48065,0.508197,-0.226526,0.521906,0.615653,0.208705
120,11710.1,1,73.2245,0.407097,0.521534,1.40926,0.309133,-0.806031,-0.25046,-0.560654,0.239179,-0.941561,1.58286,0.509894,-0.278909,0.519019,0.61819,0.207456
121,11731,1,73.08,0.292516,0.478244,1.40823,0.311868,-0.876806,-0.231782,-0.571175,0.203742,-1.2527,1.98271,0.43299,-0.213702,0.521119,0.613357,0.209766
122,11743.4,1,73.5086,0.361142,0.41996,1.40852,0.334547,-0.795703,-0.19291,-0.581,0.240259,-1.4109,2.05945,0.546414,-0.252358,0.518092,0.615315,0.210957
123,11622.3,1,72.7093,0.430118,0.509622,1.41122,0.327227,-0.712489,-0.244016,-0.582775,0.224134,-1.3849,2.06059,0.482758,-0.234476,0.511749,0.61637,0.204921
124,11509.1,1,72.7991,0.398998,0.459569,1.41956,0.342607,-0.714042,-0.266703,-0.556273,0.290844,-1.58046,2.26798,0.489767,-0.201064,0.499064,0.619128,0.201215
125,11477.4,1,71.9405,0.484032,0.488692,1.41666,0.355516,-0.683066,-0.294338,-0.53348,0.329483,-1.73124,2.32673,0.664904,-0.249429,0.497978,0.603451,0.201626
126,11478.6,1,72.8846,0.393312,0.540362,1.43007,0.360478,-0.710134,-0.270925,-0.539792,0.372284,-1.49913,2.1612,0.664757,-0.197876,0.500054,0.59295,0.205521
127,11489.2,1,73.8425,0.35591,0.494833,1.40022,0.363077,-0.658856,-0.278097,-0.497992,0.370013,-1.47861,2.10361,0.599265,-0.222264,0.497481,0.611032,0.201547
128,11561.3,1,73.5502,0.307711,0.535354,1.37048,0.374032,-0.690394,-0.2982,-0.513719,0.310677,-1.63481,2.28955,0.608741,-0.171411,0.501341,0.624753,0.202157
129,11590.7,1,73.6506,0.32071,0.615857,1.33786,0.358633,-0.711692,-0.295105,-0.56336,0.287962,-1.69729,2.35337,0.670096,-0.175796,0.49939,0.643845,0.201009
130,11567.4,1,73.4054,0.31392,0.619415,1.35243,0.330793,-0.725797,-0.261706,-0.566711,0.319377,-1.55011,2.16276,0.636127,-0.24448,0.513131,0.645596,0.194979
131,11547.8,1,74.0514,0.275589,0.626687,1.43228,0.270623,-0.728261,-0.287083,-0.558982,0.310738,-1.7891,2.49971,0.620545,-0.232386,0.500138,0.645609,0.198996
132,11529.2,1,73.5645,0.248346,0.590097,1.40239,0.293939,-0.660617,-0.347119,-0.509655,0.345966,-1.84766,2.47887,0.707201,-0.224265,0.497477,0.640003,0.197576
133,11526.7,1,74.0546,0.323613,0.635347,1.36734,0.333814,-0.718461,-0.270714,-0.583067,0.394376,-1.59023,2.19502,0.690187,-0.28048,0.487591,0.633544,0.201852
134,11611.1,1,73.2817,0.436398,0.612202,1.4071,0.303295,-0.676418,-0.247195,-0.574576,0.351191,-1.55985,2.26475,0.60695,-0.268428,0.496249,0.629081,0.206014
135,11521,1,74.0537,0.302353,0.66885,1.37912,0.362211,-0.764334,-0.275538,-0.57854,0.311761,-1.72171,2.40782,0.71243,-0.20701,0.504777,0.613152,0.208901
136,11544,1,74.4485,0.338482,0.630027,1.31963,0.379197,-0.688705,-0.275782,-0.601423,0.311702,-1.70081,2.36197,0.678147,-0.196853,0.494941,0.597627,0.207791
137,11614.7,1,75.4807,0.463326,0.648867,1.27005,0.400934,-0.782403,-0.21451,-0.669948,0.206096,-1.62672,2.29043,0.465646,-0.197783,0.4953,0.599527,0.21156
138,11638.7,1,75.5315,0.443533,0.66294,1.25493,0.426094,-0.759698,-0.228341,-0.674758,0.172506,-1.79461,2.40176,0.476294,-0.200131,0.489893,0.611537,0.210246
139,11611.6,1,77.5681,0.383053,0.638779,1.28945,0.404709,-0.767131,-0.246428,-0.67808,0.137283,-1.90702,2.56559,0.527012,-0.153459,0.490678,0.611808,0.211351
140,11627.3,1,78.5021,0.386227,0.574194,1.3015,0.37833,-0.748208,-0.26152,-0.595497,0.287338,-1.49357,2.27828,0.503216,-0.214614,0.489253,0.61434,0.212028
141,11719.5,1,76.6343,0.331374,0.537618,1.29832,0.376203,-0.724313,-0.265159,-0.638393,0.274605,-1.42819,2.23128,0.543566,-0.233613,0.506912,0.633746,0.207735
