pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.0346557,0.553583,0.179281,0.554217,0.172053,0.553583,All
-0.0314468,0.554217,0.181886,0.554851,0.174874,0.554217,All
-0.0310784,0.554851,0.182672,0.555485,0.175131,0.554851,All
-0.0310399,0.555485,0.18272,0.556119,0.177792,0.555485,All
-0.0309037,0.556119,0.182799,0.556753,0.183315,0.556119,All
-0.0303696,0.556753,0.182835,0.557387,0.183317,0.556753,All
-0.0261633,0.557387,0.185673,0.558022,0.185024,0.557387,All
-0.0219081,0.558022,0.186163,0.558656,0.185357,0.558022,All
-0.0219071,0.558656,0.186914,0.55929,0.186453,0.558656,All
-0.0209261,0.55929,0.187231,0.559924,0.188582,0.55929,All
-0.0178647,0.559924,0.189265,0.560558,0.189094,0.559924,All
-0.0151218,0.560558,0.190056,0.561192,0.189992,0.560558,All
-0.0138014,0.561192,0.19006,0.561826,0.191328,0.561192,All
-0.0103645,0.561826,0.19117,0.56246,0.196779,0.561826,All
-0.00730853,0.56246,0.191442,0.563094,0.196895,0.56246,All
-0.00712303,0.563094,0.191682,0.563729,0.19729,0.563094,All
-0.00710547,0.563729,0.191896,0.564363,0.198856,0.563729,All
-0.0055498,0.564363,0.192537,0.564997,0.199447,0.564363,All
-0.00200566,0.564997,0.194063,0.565631,0.203646,0.564997,All
-0.00197246,0.565631,0.194314,0.566265,0.210316,0.565631,All
-0.00075521,0.566265,0.195199,0.566899,0.21502,0.566265,All
-0.000472027,0.566899,0.196033,0.567533,0.215518,0.566899,All
-3.48566e-05,0.567533,0.199846,0.568167,0.216509,0.567533,All
0.00271585,0.568167,0.200708,0.568802,0.22065,0.568167,All
0.00395242,0.568802,0.201333,0.569436,0.221158,0.568802,All
0.00428288,0.569436,0.203212,0.57007,0.224062,0.569436,All
0.00710205,0.57007,0.204318,0.570704,0.225669,0.57007,All
0.00820346,0.570704,0.206707,0.571338,0.225856,0.570704,All
0.0085599,0.571338,0.20795,0.571972,0.231901,0.571338,All
0.0123295,0.571972,0.208438,0.572606,0.233482,0.571972,All
0.0174081,0.572606,0.212549,0.57324,0.233514,0.572606,All
0.0210625,0.57324,0.214309,0.573874,0.234824,0.57324,All
0.0223177,0.573874,0.215035,0.574509,0.234831,0.573874,All
0.0227939,0.574509,0.216143,0.575143,0.239811,0.574509,All
0.0231656,0.575143,0.216166,0.575777,0.24018,0.575143,All
0.027695,0.575777,0.218986,0.576411,0.243365,0.575777,All
0.032522,0.576411,0.219145,0.577045,0.244838,0.576411,All
0.0335793,0.577045,0.219446,0.577679,0.24758,0.577045,All
0.0372811,0.577679,0.21954,0.578313,0.247588,0.577679,All
0.0422894,0.578313,0.220551,0.578947,0.251334,0.578313,All
0.045683,0.578947,0.221147,0.579581,0.251615,0.578947,All
0.048094,0.579581,0.221377,0.580216,0.256551,0.579581,All
0.0541428,0.580216,0.222068,0.58085,0.257472,0.580216,All
0.0550179,0.58085,0.22222,0.581484,0.257874,0.58085,All
0.0605471,0.581484,0.222597,0.582118,0.258651,0.581484,All
0.062213,0.582118,0.222621,0.582752,0.262051,0.582118,All
0.0631431,0.582752,0.222621,0.583386,0.265993,0.582752,All
0.0644469,0.583386,0.22361,0.58402,0.267738,0.583386,All
0.0655036,0.58402,0.224159,0.584654,0.269408,0.58402,All
0.0685353,0.584654,0.224183,0.585289,0.269699,0.584654,All
0.0711998,0.585289,0.224687,0.585923,0.272796,0.585289,All
