pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.558462,0.31896,-0.0183234,0.319594,-0.471705,0.31896,All
-0.555761,0.319594,-0.018025,0.320228,-0.471279,0.319594,All
-0.55566,0.320228,-0.0175861,0.320862,-0.467763,0.320228,All
-0.554102,0.320862,-0.017546,0.321497,-0.466498,0.320862,All
-0.552902,0.321497,-0.0169993,0.322131,-0.463457,0.321497,All
-0.552055,0.322131,-0.0164805,0.322765,-0.461993,0.322131,All
-0.549767,0.322765,-0.0160258,0.323399,-0.459902,0.322765,All
-0.549614,0.323399,-0.0157806,0.324033,-0.459755,0.323399,All
-0.549434,0.324033,-0.0156379,0.324667,-0.459023,0.324033,All
-0.548856,0.324667,-0.0149502,0.325301,-0.457921,0.324667,All
-0.544718,0.325301,-0.014782,0.325935,-0.455909,0.325301,All
-0.544376,0.325935,-0.0147607,0.326569,-0.455898,0.325935,All
-0.539977,0.326569,-0.0140965,0.327204,-0.44955,0.326569,All
-0.538048,0.327204,-0.0139717,0.327838,-0.448551,0.327204,All
-0.537822,0.327838,-0.0131042,0.328472,-0.447323,0.327838,All
-0.537427,0.328472,-0.0130937,0.329106,-0.444795,0.328472,All
-0.537334,0.329106,-0.0130906,0.32974,-0.443365,0.329106,All
-0.537071,0.32974,-0.0126232,0.330374,-0.440916,0.32974,All
-0.536804,0.330374,-0.0120136,0.331008,-0.43983,0.330374,All
-0.536305,0.331008,-0.0118932,0.331642,-0.438294,0.331008,All
-0.535825,0.331642,-0.010725,0.332276,-0.434738,0.331642,All
-0.535,0.332276,-0.0103045,0.332911,-0.434186,0.332276,All
-0.532542,0.332911,-0.0102444,0.333545,-0.434136,0.332911,All
-0.526844,0.333545,-0.00980802,0.334179,-0.434076,0.333545,All
-0.524462,0.334179,-0.00941091,0.334813,-0.431229,0.334179,All
-0.524202,0.334813,-0.00889244,0.335447,-0.431184,0.334813,All
-0.522064,0.335447,-0.0083517,0.336081,-0.430798,0.335447,All
-0.519496,0.336081,-0.00783323,0.336715,-0.427194,0.336081,All
-0.518103,0.336715,-0.00480174,0.337349,-0.421413,0.336715,All
-0.515322,0.337349,-0.00439615,0.337984,-0.418895,0.337349,All
-0.514343,0.337984,-0.00438406,0.338618,-0.418528,0.337984,All
-0.511781,0.338618,-0.00367903,0.339252,-0.416898,0.338618,All
-0.511764,0.339252,-0.00366143,0.339886,-0.41543,0.339252,All
-0.511146,0.339886,-0.00336252,0.34052,-0.408289,0.339886,All
-0.510856,0.34052,-0.00302369,0.341154,-0.408096,0.34052,All
-0.510508,0.341154,-0.00301911,0.341788,-0.403324,0.341154,All
-0.510203,0.341788,-0.00301511,0.342422,-0.400611,0.341788,All
-0.509965,0.342422,-0.00279738,0.343056,-0.398517,0.342422,All
-0.509387,0.343056,-0.00255248,0.343691,-0.396237,0.343056,All
-0.509115,0.343691,-0.00221566,0.344325,-0.389988,0.343691,All
-0.508119,0.344325,-0.00191259,0.344959,-0.388883,0.344325,All
-0.504636,0.344959,-0.00175059,0.345593,-0.384097,0.344959,All
-0.502429,0.345593,-0.00143102,0.346227,-0.382639,0.345593,All
-0.502164,0.346227,-0.00114426,0.346861,-0.382141,0.346227,All
-0.499976,0.346861,-0.000657584,0.347495,-0.381578,0.346861,All
-0.497482,0.347495,-0.00062243,0.348129,-0.380348,0.347495,All
-0.49694,0.348129,-0.00057132,0.348763,-0.379754,0.348129,All
-0.496337,0.348763,-8.50856e-05,0.349398,-0.379311,0.348763,All
-0.496057,0.349398,0.000239711,0.350032,-0.373799,0.349398,All
-0.495763,0.350032,0.00214691,0.350666,-0.373775,0.350032,All
