standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
0.0979977,0.682318,0.4149,0.682318,All
0.098813,0.683317,0.417246,0.683317,All
0.0989713,0.684316,0.420813,0.684316,All
0.102152,0.685315,0.421031,0.685315,All
0.103627,0.686314,0.421169,0.686314,All
0.106265,0.687313,0.421733,0.687313,All
0.106889,0.688312,0.422691,0.688312,All
0.110029,0.689311,0.42368,0.689311,All
0.112679,0.69031,0.429066,0.69031,All
0.113169,0.691309,0.429747,0.691309,All
0.114271,0.692308,0.431069,0.692308,All
0.114743,0.693307,0.431345,0.693307,All
0.114776,0.694306,0.43214,0.694306,All
0.116968,0.695305,0.433535,0.695305,All
0.117957,0.696304,0.435258,0.696304,All
0.11821,0.697303,0.435323,0.697303,All
0.120264,0.698302,0.43633,0.698302,All
0.120835,0.699301,0.438623,0.699301,All
0.124553,0.7003,0.440793,0.7003,All
0.124985,0.701299,0.440801,0.701299,All
0.125233,0.702298,0.44318,0.702298,All
0.128529,0.703297,0.443594,0.703297,All
0.129743,0.704296,0.44459,0.704296,All
0.130849,0.705295,0.445355,0.705295,All
0.132293,0.706294,0.445706,0.706294,All
0.133055,0.707293,0.451691,0.707293,All
0.134066,0.708292,0.45228,0.708292,All
0.134591,0.709291,0.453911,0.709291,All
0.13515,0.71029,0.455017,0.71029,All
0.135678,0.711289,0.457202,0.711289,All
0.136306,0.712288,0.457431,0.712288,All
0.136314,0.713287,0.457679,0.713287,All
0.138191,0.714286,0.465002,0.714286,All
0.138894,0.715285,0.469823,0.715285,All
0.139722,0.716284,0.471522,0.716284,All
0.140539,0.717283,0.47192,0.717283,All
0.141236,0.718282,0.472999,0.718282,All
0.142221,0.719281,0.473845,0.719281,All
0.142408,0.72028,0.474006,0.72028,All
0.143447,0.721279,0.47915,0.721279,All
0.145604,0.722278,0.479832,0.722278,All
0.145784,0.723277,0.482264,0.723277,All
0.146097,0.724276,0.4837,0.724276,All
0.146655,0.725275,0.48456,0.725275,All
0.146842,0.726274,0.485514,0.726274,All
0.149895,0.727273,0.486673,0.727273,All
0.150155,0.728272,0.494545,0.728272,All
0.1505,0.729271,0.497976,0.729271,All
0.152436,0.73027,0.501422,0.73027,All
0.153154,0.731269,0.504523,0.731269,All
0.154131,0.732268,0.505534,0.732268,All
0.154268,0.733267,0.507114,0.733267,All
0.155074,0.734266,0.507117,0.734266,All
0.156889,0.735265,0.507321,0.735265,All
0.1594,0.736264,0.50968,0.736264,All
0.164318,0.737263,0.510859,0.737263,All
0.16635,0.738262,0.5118,0.738262,All
0.169586,0.739261,0.512789,0.739261,All
0.169994,0.74026,0.515674,0.74026,All
0.170696,0.741259,0.52092,0.741259,All
0.172012,0.742258,0.521058,0.742258,All
0.17533,0.743257,0.526871,0.743257,All
0.176365,0.744256,0.532684,0.744256,All
0.176527,0.745255,0.533177,0.745255,All
0.176909,0.746254,0.539139,0.746254,All
0.179451,0.747253,0.540762,0.747253,All
0.181124,0.748252,0.545039,0.748252,All
0.182063,0.749251,0.545308,0.749251,All
0.184029,0.75025,0.546408,0.75025,All
0.184987,0.751249,0.548688,0.751249,All
0.187848,0.752248,0.549121,0.752248,All
0.189663,0.753247,0.55009,0.753247,All
0.191184,0.754246,0.554896,0.754246,All
0.191796,0.755245,0.557207,0.755245,All
0.192243,0.756244,0.557853,0.756244,All
0.192315,0.757243,0.557879,0.757243,All
0.192829,0.758242,0.561252,0.758242,All
0.192948,0.759241,0.561631,0.759241,All
0.193583,0.76024,0.563257,0.76024,All
0.19735,0.761239,0.56495,0.761239,All
0.19843,0.762238,0.568592,0.762238,All
0.20024,0.763237,0.569101,0.763237,All
0.200495,0.764236,0.56945,0.764236,All
0.200964,0.765235,0.571493,0.765235,All
0.202282,0.766234,0.571871,0.766234,All
0.202726,0.767233,0.576266,0.767233,All
0.203944,0.768232,0.58391,0.768232,All
0.207889,0.769231,0.585644,0.769231,All
0.210562,0.77023,0.592324,0.77023,All
0.213077,0.771229,0.59365,0.771229,All
0.220348,0.772228,0.594108,0.772228,All
0.223739,0.773227,0.594235,0.773227,All
0.224194,0.774226,0.5968,0.774226,All
0.224647,0.775225,0.60398,0.775225,All
0.225381,0.776224,0.606275,0.776224,All
0.227045,0.777223,0.606284,0.777223,All
0.227758,0.778222,0.612333,0.778222,All
0.228284,0.779221,0.618771,0.779221,All
0.232411,0.78022,0.621278,0.78022,All
0.232551,0.781219,0.627136,0.781219,All
0.233351,0.782218,0.62763,0.782218,All
0.235831,0.783217,0.632867,0.783217,All
0.238019,0.784216,0.635896,0.784216,All
0.23909,0.785215,0.642613,0.785215,All
0.239633,0.786214,0.643826,0.786214,All
0.23984,0.787213,0.649188,0.787213,All
0.24086,0.788212,0.649652,0.788212,All
0.24199,0.789211,0.652585,0.789211,All
0.243274,0.79021,0.664685,0.79021,All
0.244057,0.791209,0.664832,0.791209,All
0.245494,0.792208,0.66562,0.792208,All
0.245642,0.793207,0.666816,0.793207,All
0.247973,0.794206,0.670043,0.794206,All
0.24859,0.795205,0.675004,0.795205,All
0.248792,0.796204,0.675686,0.796204,All
0.250853,0.797203,0.675982,0.797203,All
0.253023,0.798202,0.676502,0.798202,All
0.253323,0.799201,0.677257,0.799201,All
0.254449,0.8002,0.677329,0.8002,All
0.258613,0.801199,0.677958,0.801199,All
0.260844,0.802198,0.678767,0.802198,All
0.262864,0.803197,0.683577,0.803197,All
0.264259,0.804196,0.685522,0.804196,All
0.265343,0.805195,0.707137,0.805195,All
0.26736,0.806194,0.710854,0.806194,All
0.267366,0.807193,0.71143,0.807193,All
0.267454,0.808192,0.71497,0.808192,All
0.267806,0.809191,0.716918,0.809191,All
0.268082,0.81019,0.719044,0.81019,All
0.268087,0.811189,0.722565,0.811189,All
0.270003,0.812188,0.724804,0.812188,All
0.270936,0.813187,0.727963,0.813187,All
0.275508,0.814186,0.734139,0.814186,All
0.27625,0.815185,0.735908,0.815185,All
0.276899,0.816184,0.740221,0.816184,All
0.283572,0.817183,0.743624,0.817183,All
0.286386,0.818182,0.745529,0.818182,All
0.289919,0.819181,0.749388,0.819181,All
0.291617,0.82018,0.751387,0.82018,All
0.293185,0.821179,0.751892,0.821179,All
0.293694,0.822178,0.754536,0.822178,All
0.295222,0.823177,0.758311,0.823177,All
0.298416,0.824176,0.758339,0.824176,All
0.298667,0.825175,0.764724,0.825175,All
0.300147,0.826174,0.76779,0.826174,All
0.300816,0.827173,0.772766,0.827173,All
0.303045,0.828172,0.783346,0.828172,All
0.307672,0.829171,0.786792,0.829171,All
0.309288,0.83017,0.787223,0.83017,All
0.310064,0.831169,0.788047,0.831169,All
0.313734,0.832168,0.789416,0.832168,All
0.313803,0.833167,0.794891,0.833167,All
0.317804,0.834166,0.803087,0.834166,All
0.319341,0.835165,0.810526,0.835165,All
0.321253,0.836164,0.813216,0.836164,All
0.322869,0.837163,0.818071,0.837163,All
0.322988,0.838162,0.822551,0.838162,All
0.329135,0.839161,0.827673,0.839161,All
0.333022,0.84016,0.836018,0.84016,All
0.338193,0.841159,0.837565,0.841159,All
0.34818,0.842158,0.838288,0.842158,All
0.351095,0.843157,0.839143,0.843157,All
0.352754,0.844156,0.843054,0.844156,All
0.353019,0.845155,0.843058,0.845155,All
0.354965,0.846154,0.848095,0.846154,All
0.355976,0.847153,0.850143,0.847153,All
0.359542,0.848152,0.854974,0.848152,All
0.360694,0.849151,0.855642,0.849151,All
0.361538,0.85015,0.855671,0.85015,All
0.362534,0.851149,0.857414,0.851149,All
0.367692,0.852148,0.862752,0.852148,All
0.368638,0.853147,0.872595,0.853147,All
0.370383,0.854146,0.873223,0.854146,All
0.370605,0.855145,0.875748,0.855145,All
0.372045,0.856144,0.879309,0.856144,All
0.373389,0.857143,0.880825,0.857143,All
0.376205,0.858142,0.887298,0.858142,All
0.377086,0.859141,0.889634,0.859141,All
0.381669,0.86014,0.895574,0.86014,All
0.382789,0.861139,0.89644,0.861139,All
0.383622,0.862138,0.897237,0.862138,All
0.384159,0.863137,0.906484,0.863137,All
0.384345,0.864136,0.909688,0.864136,All
0.385219,0.865135,0.914516,0.865135,All
0.385418,0.866134,0.920487,0.866134,All
0.3871,0.867133,0.922037,0.867133,All
0.387671,0.868132,0.922388,0.868132,All
0.388767,0.869131,0.924408,0.869131,All
0.389369,0.87013,0.932447,0.87013,All
0.390511,0.871129,0.94196,0.871129,All
0.394123,0.872128,0.94577,0.872128,All
0.401928,0.873127,0.949151,0.873127,All
0.40444,0.874126,0.951738,0.874126,All
0.413987,0.875125,0.954959,0.875125,All
0.417496,0.876124,0.959825,0.876124,All
0.419787,0.877123,0.970837,0.877123,All
0.420888,0.878122,0.974195,0.878122,All
0.422705,0.879121,0.978266,0.879121,All
0.425619,0.88012,0.978452,0.88012,All
0.426875,0.881119,0.979835,0.881119,All
0.42778,0.882118,0.980534,0.882118,All
0.435749,0.883117,0.981251,0.883117,All
0.437744,0.884116,0.985364,0.884116,All
0.440637,0.885115,0.990936,0.885115,All
0.445246,0.886114,0.990967,0.886114,All
0.446198,0.887113,0.99829,0.887113,All
0.448152,0.888112,1.00942,0.888112,All
0.449781,0.889111,1.01258,0.889111,All
0.452713,0.89011,1.01537,0.89011,All
0.452793,0.891109,1.01889,0.891109,All
0.454959,0.892108,1.02059,0.892108,All
0.455235,0.893107,1.03365,0.893107,All
0.45619,0.894106,1.03758,0.894106,All
0.457382,0.895105,1.04216,0.895105,All
0.457391,0.896104,1.04302,0.896104,All
0.458559,0.897103,1.04424,0.897103,All
0.462702,0.898102,1.04724,0.898102,All
0.463369,0.899101,1.05006,0.899101,All
0.463476,0.9001,1.05184,0.9001,All
0.4637,0.901099,1.05687,0.901099,All
0.468623,0.902098,1.07322,0.902098,All
0.475833,0.903097,1.07972,0.903097,All
0.477809,0.904096,1.08697,0.904096,All
0.479062,0.905095,1.09235,0.905095,All
0.483262,0.906094,1.10329,0.906094,All
0.485116,0.907093,1.10664,0.907093,All
0.486033,0.908092,1.11082,0.908092,All
0.493069,0.909091,1.12636,0.909091,All
0.501948,0.91009,1.12696,0.91009,All
0.502152,0.911089,1.12728,0.911089,All
0.515947,0.912088,1.12811,0.912088,All
0.517418,0.913087,1.13169,0.913087,All
0.52537,0.914086,1.13864,0.914086,All
0.534668,0.915085,1.14482,0.915085,All
0.542277,0.916084,1.145,0.916084,All
0.555416,0.917083,1.1473,0.917083,All
0.568763,0.918082,1.14746,0.918082,All
0.570476,0.919081,1.14875,0.919081,All
0.571568,0.92008,1.15753,0.92008,All
0.573559,0.921079,1.15847,0.921079,All
0.576589,0.922078,1.15913,0.922078,All
0.579966,0.923077,1.16377,0.923077,All
0.58601,0.924076,1.16841,0.924076,All
0.588085,0.925075,1.19194,0.925075,All
0.589482,0.926074,1.19247,0.926074,All
0.590425,0.927073,1.19318,0.927073,All
0.592716,0.928072,1.1967,0.928072,All
0.594434,0.929071,1.20693,0.929071,All
0.600125,0.93007,1.21615,0.93007,All
0.611417,0.931069,1.22525,0.931069,All
0.621494,0.932068,1.23549,0.932068,All
0.630065,0.933067,1.24883,0.933067,All
0.642987,0.934066,1.25334,0.934066,All
0.649723,0.935065,1.26548,0.935065,All
0.653247,0.936064,1.26575,0.936064,All
0.662753,0.937063,1.27365,0.937063,All
0.673307,0.938062,1.27515,0.938062,All
0.677633,0.939061,1.27579,0.939061,All
0.6796,0.94006,1.28066,0.94006,All
0.687018,0.941059,1.28113,0.941059,All
0.695764,0.942058,1.28678,0.942058,All
0.703532,0.943057,1.29091,0.943057,All
0.75814,0.944056,1.29454,0.944056,All
0.758567,0.945055,1.29584,0.945055,All
0.768399,0.946054,1.29672,0.946054,All
0.771663,0.947053,1.29721,0.947053,All
0.774512,0.948052,1.30208,0.948052,All
0.792185,0.949051,1.31478,0.949051,All
0.793432,0.95005,1.32548,0.95005,All
0.816146,0.951049,1.3258,0.951049,All
0.818731,0.952048,1.32693,0.952048,All
0.823832,0.953047,1.33323,0.953047,All
0.829725,0.954046,1.33599,0.954046,All
0.842993,0.955045,1.3399,0.955045,All
0.861782,0.956044,1.34945,0.956044,All
0.866206,0.957043,1.35212,0.957043,All
0.882844,0.958042,1.36067,0.958042,All
0.926357,0.959041,1.36273,0.959041,All
0.928672,0.96004,1.37188,0.96004,All
0.935749,0.961039,1.37346,0.961039,All
0.948647,0.962038,1.39747,0.962038,All
0.959358,0.963037,1.40146,0.963037,All
