standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
0.45311,0.855145,1.23703,0.855145,All
0.453656,0.856144,1.24537,0.856144,All
0.45956,0.857143,1.24545,0.857143,All
0.463769,0.858142,1.24606,0.858142,All
0.464135,0.859141,1.25059,0.859141,All
0.46488,0.86014,1.26262,0.86014,All
0.465367,0.861139,1.2733,0.861139,All
0.46543,0.862138,1.27355,0.862138,All
0.469259,0.863137,1.28407,0.863137,All
0.470573,0.864136,1.28658,0.864136,All
0.471626,0.865135,1.2911,0.865135,All
0.474992,0.866134,1.29176,0.866134,All
0.477378,0.867133,1.29273,0.867133,All
0.478184,0.868132,1.2973,0.868132,All
0.484418,0.869131,1.29828,0.869131,All
0.488112,0.87013,1.29854,0.87013,All
0.499313,0.871129,1.30165,0.871129,All
0.502837,0.872128,1.30776,0.872128,All
0.507151,0.873127,1.30857,0.873127,All
0.508203,0.874126,1.31712,0.874126,All
0.508539,0.875125,1.32159,0.875125,All
0.510602,0.876124,1.32331,0.876124,All
0.511764,0.877123,1.32794,0.877123,All
0.514241,0.878122,1.33065,0.878122,All
0.515108,0.879121,1.33084,0.879121,All
0.518723,0.88012,1.33238,0.88012,All
0.519456,0.881119,1.35546,0.881119,All
0.522157,0.882118,1.35656,0.882118,All
0.522421,0.883117,1.35843,0.883117,All
0.52729,0.884116,1.37352,0.884116,All
0.530723,0.885115,1.38653,0.885115,All
0.537989,0.886114,1.38787,0.886114,All
0.556538,0.887113,1.38837,0.887113,All
0.562142,0.888112,1.38915,0.888112,All
0.565273,0.889111,1.39233,0.889111,All
0.568313,0.89011,1.3943,0.89011,All
0.570764,0.891109,1.39872,0.891109,All
0.581028,0.892108,1.40071,0.892108,All
0.585129,0.893107,1.40211,0.893107,All
0.594578,0.894106,1.4041,0.894106,All
0.602387,0.895105,1.40925,0.895105,All
0.603806,0.896104,1.41077,0.896104,All
0.605968,0.897103,1.41234,0.897103,All
0.607925,0.898102,1.41307,0.898102,All
0.612171,0.899101,1.41365,0.899101,All
0.616465,0.9001,1.43173,0.9001,All
0.619155,0.901099,1.4318,0.901099,All
0.624358,0.902098,1.44297,0.902098,All
0.627724,0.903097,1.44528,0.903097,All
0.636554,0.904096,1.45042,0.904096,All
0.638932,0.905095,1.45641,0.905095,All
0.639521,0.906094,1.46436,0.906094,All
0.6418,0.907093,1.47026,0.907093,All
0.664325,0.908092,1.47163,0.908092,All
0.665192,0.909091,1.47417,0.909091,All
0.673582,0.91009,1.47891,0.91009,All
0.680157,0.911089,1.48477,0.911089,All
0.682887,0.912088,1.48856,0.912088,All
0.695918,0.913087,1.49826,0.913087,All
0.696551,0.914086,1.51053,0.914086,All
0.698179,0.915085,1.511,0.915085,All
0.725643,0.916084,1.51342,0.916084,All
0.735821,0.917083,1.51627,0.917083,All
0.736458,0.918082,1.5201,0.918082,All
0.740798,0.919081,1.52843,0.919081,All
0.745887,0.92008,1.54353,0.92008,All
0.747945,0.921079,1.5464,0.921079,All
0.751449,0.922078,1.5504,0.922078,All
0.769011,0.923077,1.55131,0.923077,All
0.769703,0.924076,1.55502,0.924076,All
0.787698,0.925075,1.55736,0.925075,All
