standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-0.90366,0.0839161,-0.85045,0.0839161,All
-0.903504,0.0849151,-0.843486,0.0849151,All
-0.898742,0.0859141,-0.833141,0.0859141,All
-0.895536,0.0869131,-0.818843,0.0869131,All
-0.888811,0.0879121,-0.815859,0.0879121,All
-0.880971,0.0889111,-0.810807,0.0889111,All
-0.85947,0.0899101,-0.799084,0.0899101,All
-0.844264,0.0909091,-0.796233,0.0909091,All
-0.841821,0.0919081,-0.79414,0.0919081,All
-0.837988,0.0929071,-0.783315,0.0929071,All
-0.803263,0.0939061,-0.773211,0.0939061,All
-0.801424,0.0949051,-0.763906,0.0949051,All
-0.800393,0.0959041,-0.761521,0.0959041,All
-0.800065,0.0969031,-0.756587,0.0969031,All
-0.799602,0.0979021,-0.752595,0.0979021,All
-0.794046,0.0989011,-0.7491,0.0989011,All
-0.778619,0.0999001,-0.748551,0.0999001,All
-0.77438,0.100899,-0.74782,0.100899,All
-0.772111,0.101898,-0.743285,0.101898,All
-0.771114,0.102897,-0.729522,0.102897,All
-0.765606,0.103896,-0.727273,0.103896,All
-0.763514,0.104895,-0.717956,0.104895,All
-0.76258,0.105894,-0.706084,0.105894,All
-0.74395,0.106893,-0.705772,0.106893,All
-0.730533,0.107892,-0.692879,0.107892,All
-0.725851,0.108891,-0.689853,0.108891,All
-0.722696,0.10989,-0.67894,0.10989,All
-0.719886,0.110889,-0.678372,0.110889,All
-0.708266,0.111888,-0.676028,0.111888,All
-0.70691,0.112887,-0.674397,0.112887,All
-0.702947,0.113886,-0.673991,0.113886,All
-0.697191,0.114885,-0.673049,0.114885,All
-0.687771,0.115884,-0.671991,0.115884,All
-0.685937,0.116883,-0.666017,0.116883,All
-0.68388,0.117882,-0.665539,0.117882,All
-0.683347,0.118881,-0.648339,0.118881,All
-0.6668,0.11988,-0.647846,0.11988,All
-0.657342,0.120879,-0.647486,0.120879,All
-0.65583,0.121878,-0.646073,0.121878,All
-0.653398,0.122877,-0.627734,0.122877,All
-0.649649,0.123876,-0.622778,0.123876,All
-0.646795,0.124875,-0.61759,0.124875,All
-0.645557,0.125874,-0.614647,0.125874,All
-0.642439,0.126873,-0.596654,0.126873,All
-0.642044,0.127872,-0.578908,0.127872,All
-0.640173,0.128871,-0.570724,0.128871,All
-0.627023,0.12987,-0.565811,0.12987,All
-0.625213,0.130869,-0.565322,0.130869,All
-0.623306,0.131868,-0.56255,0.131868,All
-0.622915,0.132867,-0.55962,0.132867,All
-0.622115,0.133866,-0.551462,0.133866,All
-0.621676,0.134865,-0.550385,0.134865,All
-0.621405,0.135864,-0.550253,0.135864,All
-0.616708,0.136863,-0.549927,0.136863,All
-0.610019,0.137862,-0.548719,0.137862,All
-0.607662,0.138861,-0.545002,0.138861,All
-0.606517,0.13986,-0.53767,0.13986,All
-0.605004,0.140859,-0.5354,0.140859,All
-0.602705,0.141858,-0.529064,0.141858,All
-0.602379,0.142857,-0.526605,0.142857,All
-0.602321,0.143856,-0.52074,0.143856,All
-0.602011,0.144855,-0.517434,0.144855,All
-0.60186,0.145854,-0.514853,0.145854,All
-0.592425,0.146853,-0.513627,0.146853,All
-0.587739,0.147852,-0.512259,0.147852,All
-0.584419,0.148851,-0.509465,0.148851,All
-0.583153,0.14985,-0.502476,0.14985,All
-0.579987,0.150849,-0.501462,0.150849,All
-0.575098,0.151848,-0.501032,0.151848,All
