popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
6.65863,14.6849,6.65863,4.38164,8.93562,5.74988,5.92062,5.74988,3.78365,7.71611,All
6.8678,15.0891,6.8678,4.51929,9.21632,6.10248,6.27684,6.10248,4.01568,8.18929,All
7.14405,15.6819,7.14405,4.70107,9.58704,6.51402,6.68541,6.51402,4.28649,8.74156,All
7.66486,15.8843,7.66486,5.04378,10.2859,6.90224,7.08808,6.90224,4.54195,9.26254,All
8.22364,15.0022,8.22364,5.41148,11.0358,6.95332,7.14235,6.95332,4.57556,9.33108,All
8.38463,15.2566,8.38463,5.51742,11.2518,7.42224,7.62539,7.42224,4.88413,9.96035,All
8.82315,15.8623,8.82315,5.80599,11.8403,7.92279,8.11766,7.92279,5.21351,10.6321,All
9.46637,15.497,9.46637,6.22925,12.7035,8.05461,8.26463,8.05461,5.30025,10.809,All
9.90145,15.3736,9.90145,6.51555,13.2874,8.45709,8.70174,8.45709,5.5651,11.3491,All
10.1565,15.4742,10.1565,6.68337,13.6296,9.02742,9.29718,9.02742,5.9404,12.1144,All
10.8969,17.4284,10.8969,7.1706,14.6232,9.20697,9.50648,9.20697,6.05855,12.3554,All
